source_name,type,provider,category,endpoint_url,auth,price_tier,update_freq,granularity,fields_returned,cors,rate_limit,integration_path,cre_use,source_file,source_locator,status_flag,provenance_files,occurrence_count
HR-15 · HUD CHAS API — Renter Cost Burden (Tract Level),RAW_API,,demographic,https://www.huduser.gov/hudapi/public/chas?type=6&stateId=17&entityId=17031842400&year=2016-2020,Free HUD bearer token,,ACS 5-year cycle (2018–2022 ACS released Dec 2025) [^15],Census tract,"JSON — households with housing cost burdens (>30% and >50% of income), by income band, tenure, race; cost-burdened renter/owner counts [^15][^16][^17]",Yes,Not publicly documented,BUILD_RAW_API,"INPUT: type (1=nation, 2=state, 3=county, 4=place, 5=MCD, 6=tract); stateId; optional entityId; year range | CRE USE: Affordable housing market analysis; LIHTC site qualification; Section 8/HCV voucher demand modeling; community development underwriting",Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal (1).md; Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal.md; CRE API Endpoint Catalog  100-Endpoint Master Reference.md,Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal (1).md@line 55 || Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal.md@line 55 || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 370: D-06 · HUD CHAS — Housing Affordability Data API || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1141: HR-15 · HUD CHAS API — Renter Cost Burden (Tract Level),REVIEW,Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal (1).md; Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal.md; CRE API Endpoint Catalog  100-Endpoint Master Reference.md,4
BLS Occupational Employment & Wage Statistics (OEWS),RAW_API,BLS,economic,https://api.bls.gov/publicAPI/v2/timeseries/data/,Optional free API key (registrationkey); v2 key raises daily query limit from 25 to 500 series. Register: https://data.bls.gov/registrationEngine/ (https://data.bls.gov/registrationEngine/) [^1][^2],Free,Annual (May reference month data released ~March following year),National / State / MSA / County / City,"JSON — {seriesID, year, period, value, footnotes[]} — monthly unemployment rate, labor force, employed, unemployed counts",No (server-side requests required for v2 POST),v1: 25 series/day unregistered; v2: 500 series/day; 50 series per single call,BUILD_RAW_API,"NFP headline ticker + sector splits | CRE Relevance: Construction payrolls → labor supply/cost for new supply; leisure/hospitality → retail/hotel CRE demand driver[^9][^18] | Indicator: BLS CES: Nonfarm Payrolls (NFP) | Series ID / Slug: CEU0000000001 (total nonfarm), CEU2000000001 (construction), CEU7000000001 (leisure & hospitality) | Cadence & Release Time (ET): Monthly: 1st Friday, 8:30 AM | Lag from Period-End: ~30 days","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 28: E-01 · BLS Local Area Unemployment Statistics (LAUS) || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 147: E-08 · BLS Consumer Price Index — All Urban Consumers || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 164: E-09 · BLS Producer Price Index — Construction Materials || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 266: E-15 · BLS Occupational Employment & Wage Statistics (OEWS) || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 53 || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 55 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 50 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 97 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 50 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 97 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 7 / Lines 501-503",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md",11
Census Quarterly Workforce Indicators (QWI) API,RAW_API,,economic,https://api.census.gov/data/timeseries/qwi/sa?get=Emp,Free Census API key. Register: https://api.census.gov/data/key_signup.html (https://api.census.gov/data/key_signup.html),Free,"Quarterly, ~6-month lag",State / County / MSA,"JSON | Specific Fields: Employment (Emp), job creation (FrmJbGn), job destruction (FrmJbLs), hires (HirA), separations (Sep), average monthly earnings (EarnS), by NAICS + sex + age",Yes,500 queries/day with key; 50/day without,BUILD_RAW_API,"INPUT: Variables (Emp, EmpEnd, HirA, Sep, PayMonth); geography (state, county, cbsa); year; quarter; optional cross-tabs (sex, agegrp, industry) | CRE USE: Track sector-level job creation/destruction in target submarkets; identify emerging industry clusters for industrial/flex space demand","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 62: E-03 · Census Quarterly Workforce Indicators (QWI) || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 32",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md",2
Kansas City Fed Mfg — Master Reference Table Row,BULK_DOWNLOAD,St. Louis Fed,capital_markets,https://api.stlouisfed.org/fred/series/observations?series_id=DRCRELEXFACBS&api_key=YOUR_KEY&sort_order=desc&limit=1&file_type=json,Free 32-char key. Register: https://fredaccount.stlouisfed.org/apikeys (https://fredaccount.stlouisfed.org/apikeys),FREEMIUM-A (free API key),Weekly — every THURSDAY (Freddie Mac Primary Mortgage Market Survey),National (mirrors Census/BLS/BEA),"JSON / CSV / Excel | Specific Fields: Per-capita income, GDP by state, unemployment rate, payroll employment, housing price index, mortgage rates — thousands of MSA-level series",NO — requires server-side proxy,"1,000/day (unregistered); unlimited registered",BUILD_RAW_API,"Alternative — BLS Public API (no key for basic queries): https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SA0 — free, returns JSON, CORS status unknown (proxy recommended) | NAME: FRED CPIAUCSL | FIELD: Compute YoY: ((observations.value / observations[^12].value) - 1) × 100 | ILS NOTE: US CPI directly affects Fed rate decisions and thus USD/ILS carry; Israeli investors compare US CPI to Israeli CPI (1.9%) when deciding on USD-denominated vs. NIS-denominated debt exposure","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; CRE Investment Platform Financial Ticker API Reference Guide.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Free & Freemium US Tenant Distress + CMBS Loan Watchlist Data Source Map.md; Israeli Financial Data Engine — Source Reference for US CRE Intelligence Terminal.md; US Commercial Construction Pipeline & Cost Data  Bloomberg-Terminal Source Map.md; US CRE Capital Markets & CMBS Free Data Source Map — Terminal Intelligence Stack.md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 79: E-04 · FRED Series Observations — Key CRE Series || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 232: E-13 · FRED Commercial Real Estate Loan Series || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1107: HR-13 · FRED Housing Price Index Series || CRE Investment Platform Financial Ticker API Reference Guide.md@line 161: A4. 30-Year Fixed Mortgage Rate || CRE Investment Platform Financial Ticker API Reference Guide.md@line 198: A6. CPI Year-over-Year (US) || CRE Investment Platform Financial Ticker API Reference Guide.md@line 600: D24. CMBS Delinquency Rate || CRE Investment Platform Financial Ticker API Reference Guide.md@line 618: D25. Commercial Mortgage Origination Volume || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 65 || Free & Freemium US Tenant Distress + CMBS Loan Watchlist Data Source Map.md@line 69 || Free & Freemium US Tenant Distress + CMBS Loan Watchlist Data Source Map.md@line 118 || Israeli Financial Data Engine — Source Reference for US CRE Intelligence Terminal.md@line 124 || US Commercial Construction Pipeline & Cost Data  Bloomberg-Terminal Source Map.md@line 21 || US CRE Capital Markets & CMBS Free Data Source Map — Terminal Intelligence Stack.md@line 24 || US CRE Capital Markets & CMBS Free Data Source Map — Terminal Intelligence Stack.md@line 45 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 94 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 95 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 94 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 95 || US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md@line 61 || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 564 Helper / Misc || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 3 / Lines 318-322 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 618 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 10 / Line 594 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 10 / Line 599 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 10 / Line 603 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 629 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 630 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 631 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 632 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Parallel Fan-Out / Lines 661-664",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; CRE Investment Platform Financial Ticker API Reference Guide.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Free & Freemium US Tenant Distress + CMBS Loan Watchlist Data Source Map.md; Israeli Financial Data Engine — Source Reference for US CRE Intelligence Terminal.md; US Commercial Construction Pipeline & Cost Data  Bloomberg-Terminal Source Map.md; US CRE Capital Markets & CMBS Free Data Source Map — Terminal Intelligence Stack.md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md",30
HR-03 · Census ACS 5-Year — Housing Characteristics (DP04),RAW_API,,demographic,https://api.census.gov/data/2024/acs/acs5/profile?get=group(DP03,Free Census API key [^8],,Annual (5-year rolling estimates; 2020–2024 released Dec 2024),,"JSON — tract-level housing unit count, vacancy rate, tenure split, median rent, median home value, year built distribution, bedrooms, plumbing/kitchen facilities",Yes,500/day with key; 50/day without,BUILD_RAW_API,"INPUT: DP04 variable codes: DP04_0001E=total housing units, DP04_0003PE=vacancy rate, DP04_0045PE=renter-occupied %, DP04_0127PE=median gross rent, DP04_0089E=median home value | CRE USE: Submarket vacancy benchmarking; renter percentage for multifamily demand; affordability gap analysis; housing stock age for value-add targeting",CRE API Endpoint Catalog  100-Endpoint Master Reference.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 113: E-06 · Census ACS 5-Year — Economic Characteristics (DP03) || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 285: D-01 · Census ACS 5-Year — Demographic & Housing (DP04 + DP05) || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 302: D-02 · Census ACS 5-Year — Social Characteristics (DP02) || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 937: HR-03 · Census ACS 5-Year — Housing Characteristics (DP04),REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md,4
BEA Regional Economic Accounts — GDP by County/MSA,BULK_DOWNLOAD,BEA,news_sentiment,https://apps.bea.gov/api/data?UserID=YOUR_KEY&method=GetData&datasetname=RegionalProduct&TableName=MGDP9&LineCode=1&GeoFips=COUNTY&Year=2023&ResultFormat=JSON[^23,Free key. Register: https://apps.bea.gov/api/signup/ (https://apps.bea.gov/api/signup/),"Free (API key free, request at bea.gov)",Annual (2-year lag); Quarterly IIP position data (BEA Form BE-605)[^11],"Country × Industry breakdown including ""Real Estate and Rental and Leasing"" as NAICS sector[^9][^10]","JSON/CSV via API; XLS bulk download | Specific Fields Returned: FDI inflows by country of UBO, by US industry (incl. real estate NAICS), capital flows, income, employment at US affiliates of foreign firms[^10][^11]",Yes,"100 requests/min, 100 MB/min",BUILD_RAW_API,"FDI Country-of-Origin Breakdown tile | Cross-Verifiable With: TIC, IMF CDIS, UNCTAD | Notes / Gotchas: Gotcha: Covers FDI (≥10% voting equity stake), NOT portfolio flows. Real estate NAICS code captures operating real estate companies; most SWF co-investments via blind-pool funds may classify under ""Finance and Insurance."" Annual data has ~18-month lag; quarterly BE-605 is 45 days. BEA API dataset=MNE for MNC data; use TableName=T22 for FDI by industry[^13]. Some affiliate-level tables were discontinued Dec 2025[^10].","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Global Institutional Capital Flows Into US CRE  Free & Freemium Data Source Map (2024–2026).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 215: E-12 · BEA Regional Economic Accounts — GDP by County/MSA || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 64 || Global Institutional Capital Flows Into US CRE  Free & Freemium Data Source Map (2024–2026).md@line 26 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 79 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 80 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 79 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 80 || US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md@line 59 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 7 / Lines 514-518 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Section 7 / Lines 520-522 || CRE Intelligence Terminal — Production-Ready API Recipe Book.md@Master Reference Table / Line 626",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Global Institutional Capital Flows Into US CRE  Free & Freemium Data Source Map (2024–2026).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; CRE Intelligence Terminal — Production-Ready API Recipe Book.md",11
Census Business Patterns — Establishment Count by NAICS,RAW_API,,economic,https://api.census.gov/data/2023/cbp?get=NAICS2017,Free Census key,Free,Annual (reference year lags ~18 months),"National, state, county, MSA, ZIP code, congressional district[^6]","JSON | Specific Fields: Establishments, paid employees, first-quarter payroll, annual payroll by 6-digit NAICS",Yes,500/day,BUILD_RAW_API,PROPERTY TYPES: Proxies for office/retail/industrial demand — no direct CRE vacancy | FREE: Yes — free API key at api.census.gov | VISUAL USE: Track establishment counts and employment by NAICS to proxy occupied commercial space. Declining establishment counts = rising effective vacancy.,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Free & Low-Cost CRE Market Intelligence Data Sources.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 249: E-14 · Census Business Patterns — Establishment Count by NAICS || Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md@line 34 || Free & Low-Cost CRE Market Intelligence Data Sources.md@line 50: A3. Census County Business Patterns (CBP)",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md; Free & Low-Cost CRE Market Intelligence Data Sources.md",3
HUD-USPS ZIP↔Tract Crosswalk API,RAW_API,HUD,housing_re,https://www.huduser.gov/hudapi/public/usps?type=3&query=60611&year=2024&quarter=1,Free HUD token. Register: https://www.huduser.gov/portal/dataset/fmr-api.html (https://www.huduser.gov/portal/dataset/fmr-api.html),Free,Quarterly,"type: 1=ZIP-TRACT, 2=ZIP-COUNTY, 3=ZIP-CBSA, etc.",JSON — crosswalk table mapping ZIPs to census geographies with residential/commercial/other address allocation ratios [^13][^14],Yes,Not publicly documented; standard API key limits apply,BUILD_RAW_API,"INPUT: type (1=ZIP→tract, 2=ZIP→county, 3=ZIP→CBSA, 4=ZIP→CBSA division, 5=ZIP→congressional district, 6=ZIP→metro division, 7=ZIP→county subdivision); query (ZIP or GEOID); year; quarter | CRE USE: Translate ZIP-based trade data into census geographies for ACS lookups; aggregate submarket demographics from zip-level sources",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 353: D-05 · HUD USPS ZIP Code Crosswalk API || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 556 Helper / Misc,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
Walk Score API — Walkability & Transit,RAW_API,Walk Score,infrastructure,https://api.walkscore.com/score?format=json&address=1119+8th+Avenue+Seattle+WA+98101&lat=47.6085&lon=-122.3295&transit=1&bike=1&wsapikey=YOUR_KEY,Free key for low-volume use. Register: https://www.walkscore.com/professional/api.php (https://www.walkscore.com/professional/api.php),Freemium,Rolling updates as OSM/transit data changes,"lat/lon + address; flags transit=1, bike=1 for Transit Score and Bike Score","JSON — {walkscore, description, transit:{score, description, summary}, bike:{score, description}} (0–100 integer scores) [^18][^19]",Yes (JSON-P supported),"5,000 API calls/day on free tier; commercial tiers available",BUILD_RAW_API,INPUT: lat; lon; address; transit=1 to include Transit Score; bike=1 for Bike Score; wsapikey | CRE USE: Office/multifamily amenity scoring; tenant attraction analysis; walkability premium modeling; retail foot traffic proxies,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 438: D-10 · Walk Score API — Walkability & Transit || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 242 CATEGORY 4,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
"OpenStreetMap Overpass API (transit, amenities)",RAW_API,OpenStreetMap,infrastructure,https://overpass-api.de/api/interpreter?data=[out:json,None required (public instance); consider self-hosting or Overpass Turbo API for heavy use,Free (open),~2-minute lag behind OSM main database edits,"Overpass QL (around: meters, lat, lng)","JSON / XML / GeoJSON | Specific Fields Returned: Building footprints, landuse polygons (OSM tags), road network, POI, water bodies",Yes,Public instance: fair-use policy; single queries limited to ~10M elements or 3 min runtime,BUILD_RAW_API,"Base Map Context; POI Density Layer | Cross-Verifiable With: Regrid parcels, city GIS portals | Notes / Gotchas: Query example for landuse: [out:json]; way""landuse"" (bbox); out body;. OSM landuse ≠ legal zoning — it reflects observed use, not regulatory zoning. Use as supplemental layer, not primary zoning source.","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 472: D-12 · OpenStreetMap Overpass API — Amenity Proximity || US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md@line 103 || US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md@line 39 || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 252 CATEGORY 4",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md; US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md",4
