"SOFR",,"NY Fed",,"https://markets.newyorkfed.org/api/rates/secured/sofr/last/1.json","No key",,,,,,,,"Ticker bar — SOFR is USD benchmark replacing LIBOR","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 65","OK",,
"30-Day Average SOFR",,"NY Fed",,,,,,,,,,,"Ticker bar — SOFR benchmark variant","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 71","MISSING_FIELDS",,
"90-Day Average SOFR",,"NY Fed",,,,,,,,,,,"Ticker bar — SOFR benchmark variant","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 71","MISSING_FIELDS",,
"Term SOFR (1M/3M/6M)",,"CME",,,,,,,,,,,"Ticker bar — Term SOFR benchmark","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 71","MISSING_FIELDS",,
"Federal Funds Effective Rate",,"NY Fed",,,,,,,,,,,"Ticker bar — Fed funds policy rate","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 75","MISSING_FIELDS",,
"US Treasury Yield Curve (US Treasury Fiscal Data API)",,"US Treasury",,"api.fiscaldata.treasury.gov",,,,,,,,,"Ticker bar — Treasury yield curve all maturities","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 81","OK",,
"US Treasury Yield Curve (FRED DGS series)",,"FRED",,"api.stlouisfed.org",,,,,,,,,"Ticker bar — Treasury yield curve via FRED series DGS1MO DGS3MO DGS6MO DGS1 DGS2 DGS5 DGS10 DGS20 DGS30","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 83","OK",,
"30-Year Fixed Mortgage Rate (FRED MORTGAGE30US)",,"FRED",,,,,,,,,,,"Ticker bar — 30Y fixed mortgage rate","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 91","OK",,
"CME FedWatch",,"CME",,,,,,,,,,,"Ticker bar — implied probability of next rate cut","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 93","MISSING_FIELDS",,
"CPI (FRED CPIAUCSL)",,"FRED",,,,,,,,,,,"Ticker bar — YoY CPI inflation","Terminal_Research_Prompts_May2026.md","SEARCH 1 line 99","OK",,
