"BLS LAUS (unemployment by county/MSA)",,"U.S. Bureau of Labor Statistics",,"POST https://api.bls.gov/publicAPI/v2/timeseries/data/","Free key at https://data.bls.gov/registrationEngine/ (v2 = 500 req/day, 50 series/query, 20 years; v1 = no key, 25 req/day, 25 series/query, 10 years)","Free","Monthly (3rd Friday after reference month)","county/MSA","BLS series ID (constructed from FIPS county/MSA code + measure); JSON output","No","500 daily queries (v2 with key)",,"""Unemployment Rate"" tile (county + MSA dual sparkline)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 25 CATEGORY 1","OK",,
"BLS QCEW (employment by NAICS by county)",,"BLS",,"https://data.bls.gov/cew/data/api/2024/a/area/04013.csv","None","Free","Quarterly (~5 months lag)","5-digit county FIPS, year, qtr (1-4 or a for annual), or NAICS code","CSV (also JSON via .json)","No","None published; courtesy use",,"""Employment by Industry"" tile (NAICS top-10 bar) + ""Total Establishments"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 37 CATEGORY 1","OK",,
"Census ACS — Median Household Income (B19013) by tract",,"U.S. Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B19013_001E,B19013_001M&for=tract:*&in=state:04+county:013&key=YOUR_KEY","Free key at https://api.census.gov/data/key_signup.html","Free","Annual (5-yr release each December/January)","state+county FIPS, tract code","JSON (array of arrays)","Yes","500 variables/call, no published daily cap (heavy users may be throttled)",,"""Median Household Income"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 49 CATEGORY 1","OK",,
"Census ACS — Poverty Rate (S1701 / B17001) by tract",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5/subject?get=NAME,S1701_C03_001E&for=tract:*&in=state:04+county:013&key=YOUR_KEY","free Census key","Free","Annual","tract","JSON; S1701_C03_001E = % of population below poverty; alt B17001_002E / B17001_001E","Yes",,,"""Poverty Rate"" tile (color-coded for risk overlay)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 61 CATEGORY 1","OK",,
"Census County Business Patterns (CBP) — establishments by ZIP",,"Census Bureau",,"https://api.census.gov/data/2022/zbp?get=NAME,ESTAB,EMP,PAYANN&for=zipcode:85016&key=YOUR_KEY","free Census key","Free","Annual (~24-month lag; 2022 vintage is latest as of mid-2026)","ZIP or state+county FIPS; optional NAICS2017","JSON","Yes",,,"""Local Business Density"" tile (establishments + employees by ZIP)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 73 CATEGORY 1","OK",,
"Census ACS — Transportation to Work (B08301) by tract",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=group(B08301)&for=tract:610200&in=state:04+county:013&key=YOUR_KEY","free Census key","Free","Annual","tract","JSON; variables B08301_001E (total) through B08301_021E (worked from home)","Yes",,,"""Commute Mode Mix"" tile (drove alone / public transit / WFH donut chart)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 83 CATEGORY 1","OK",,
"Census ACS B01003 — Total Population",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B01003_001E total population; JSON","Yes",,,"""Tract Population""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 99","OK",,
"Census ACS B01001 — Sex by Age",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B01001_001E total; B01001_011E+B01001_012E males 25-34; B01001_035E+B01001_036E females 25-34 (sum = key renter cohort); JSON","Yes",,,"""Age 25-34 Cohort %"" (peak multifamily renter demand)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 100","OK",,
"Census ACS B11001 — Household Type",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B11001_001E total households; B11001_007E nonfamily; JSON","Yes",,,"""Household Count""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 101","OK",,
"Census ACS B25001 / B25002 — Housing Units & Vacancy",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B25001_001E total housing units; B25002_002E occupied / B25002_003E vacant; JSON","Yes",,,"""Housing Units & Vacancy""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 102","OK",,
