Federal Reserve,,Federal Reserve,,,,,,,,,,,"Macro & Rates: Federal Reserve (10-Year Treasury, 30-Year Mortgage, Fed Funds)",Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Bureau of Economic Analysis,,Bureau of Economic Analysis,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Bureau of Labor Statistics,,Bureau of Labor Statistics,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
AlphaVantage,,AlphaVantage,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Finnhub,,Finnhub,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Polygon,,Polygon,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Energy Information Administration,,Energy Information Administration,,,,,,,,,,,Macro & Rates,Terminal_Intelligence_Brief.md,line 19 (Macro & Rates),OK,,
Google Maps,,Google Maps,,,,,,,,,,,"Location & Mapping: Google Maps (11 APIs: Places, Geocoding, Distance Matrix, Street View, Directions, Elevation, and more)",Terminal_Intelligence_Brief.md,line 20 (Location & Mapping),OK,,
Walk Score,,Walk Score,,,,,,,,,,,Location & Mapping,Terminal_Intelligence_Brief.md,line 20 (Location & Mapping),OK,,
Foursquare Places,,Foursquare Places,,,,,,,,,,,Location & Mapping,Terminal_Intelligence_Brief.md,line 20 (Location & Mapping),OK,,
Mapbox,,Mapbox,,,,,,,,,,,Location & Mapping,Terminal_Intelligence_Brief.md,line 20 (Location & Mapping),OK,,
OpenWeather,,OpenWeather,,,,,,,,,,,Location & Mapping,Terminal_Intelligence_Brief.md,line 20 (Location & Mapping),OK,,
U.S. Census Bureau,,U.S. Census Bureau,,,,,,,,,,,Demographics: U.S. Census Bureau (45 datasets including ACS 5-year estimates),Terminal_Intelligence_Brief.md,line 21 (Demographics),OK,,
HUD Fair Market Rent,,HUD,,,,,,,,,,,Demographics: HUD Fair Market Rent,Terminal_Intelligence_Brief.md,line 21 (Demographics),OK,,
HUD CHAS,,HUD,,,,,,,,,,,Demographics: HUD CHAS housing affordability,Terminal_Intelligence_Brief.md,line 21 (Demographics),OK,,
FEMA National Flood Hazard Layer,,FEMA,,,,,,,,,,,Climate & Hazard: FEMA National Flood Hazard Layer,Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
NOAA storm event history,,NOAA,,,,,,,,,,,Climate & Hazard: NOAA storm event history,Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
NOAA hurricane tracks,,NOAA,,,,,,,,,,,Climate & Hazard: NOAA hurricane tracks,Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
National Weather Service alerts,,National Weather Service,,,,,,,,,,,Climate & Hazard: National Weather Service alerts,Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
EPA Envirofacts,,EPA,,,,,,,,,,,"Climate & Hazard: EPA Envirofacts (Superfund, brownfields, TRI, air quality)",Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
FEMA disaster declarations,,FEMA,,,,,,,,,,,Climate & Hazard: FEMA disaster declarations,Terminal_Intelligence_Brief.md,line 22 (Climate & Hazard),OK,,
CourtListener,,CourtListener,,,,,,,,,,,Legal & Compliance: CourtListener (federal court dockets),Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
PACER,,PACER,,,,,,,,,,,Legal & Compliance: PACER,Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
OFAC sanctions screening,,OFAC,,,,,,,,,,,Legal & Compliance: OFAC sanctions screening,Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
SEC EDGAR,,SEC,,,,,,,,,,,"Legal & Compliance: SEC EDGAR (REIT filings, fund disclosures)",Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
Federal Register,,Federal Register,,,,,,,,,,,Legal & Compliance: Federal Register,Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
State Secretary of State business entity records,,State Secretary of State,,,,,,,,,,,Legal & Compliance: State Secretary of State business entity records,Terminal_Intelligence_Brief.md,line 23 (Legal & Compliance),OK,,
