"filename","bytes","sha256","line_count","candidate_count","rows_extracted","status"
"Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal (1).md","48141","3AC862FF2A004F88DD56ED943F5838E5B3A770681B91AA9A69F799766A6D0AAA","406","","","PENDING"
"Agency Multifamily & Government Housing Data Layer  CRE Intelligence Terminal.md","48141","3AC862FF2A004F88DD56ED943F5838E5B3A770681B91AA9A69F799766A6D0AAA","406","","","PENDING"
"compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","46257","AD54C3CD6D9F6ED46BC1788CA7C77C9BF63961B0E819A39200FF327ACC59C2ED","629","","","PENDING"
"CRE API Endpoint Catalog  100-Endpoint Master Reference.md","113945","2AC891AEA76694F9AD43B9DAA53F6CA3A245BF93B48754B516E279B140D7CDD1","1966","","","PENDING"
"CRE Data Acquisition Cost Model.md","56606","E527F2497744B301450976920FF43366C9D45FCB6244E9193EDA4956A65086F0","323","","","PENDING"
"CRE Intelligence Terminal  Complete API Data Map (May 2026).md","42456","FDCCE4B84E17B2FC7398384F57D4087147EB998159DF4D77EDA54350EB57C1BC","390","","","PENDING"
"CRE Intelligence Terminal  Complete RSS, API & Regulatory Feed Directory.md","48701","ACEA84D2F65F2FF280C63DBD621BF6B90FF98E74FA7483EA53EEDA2E893A1093","425","","","PENDING"
"CRE Intelligence Terminal — Production-Ready API Recipe Book.md","47881","7B5E27188C936F5623D2B3338AA561DA0AED40876EB18B5E2220FACDA1BA6192","805","","","PENDING"
"CRE Investment Platform Financial Ticker API Reference Guide.md","34488","C262BB953589EEF5343D367EEB5E97235C43F9D0A49C07D49098672985741057","747","","","PENDING"
"CRE Platform UI Library Guide  12-Category Visual Widget Stack.md","36676","BF84768A3D95B8406E0400168DD39E6D0FB84640858B3A1DE45B8637AF6814F3","468","","","PENDING"
"EXTRACTION_PROTOCOL.md","10878","4582E3DE284485D58A8E98CB70375D36D609911B12D082F32308A2A7E2A17AFE","170","","","PENDING"
"Free & Freemium Data Sources for Tracking Israeli Institutional Capital in US Real Estate.md","49696","D1B160EFC7F05C704E87E0D5815532A62A11FDA01F1B65C8691FEF3525BB0866","613","","","PENDING"
"Free & Freemium US Commercial Real Estate Cap Rate Data  The Definitive Source Directory.md","74464","C37DC8AC9D247BAF494317C036DCE4DAF36E067527E04494DE7C1E70D1ED300F","690","","","PENDING"
"Free & Freemium US Migration, Demographics & Labor Data Sources — MSA ZIP Intelligence Map for CRE Terminal.md","59403","E438DB192F6DF70D6EDBAC75667823785E9BBD20D5DA6619C4F99660DCA5D6F1","420","","","PENDING"
"Free & Freemium US Tenant Distress + CMBS Loan Watchlist Data Source Map.md","54935","1D47E84E391883DF1A43DA6CDDD23FDC10722711E912CB89165B47361D892648","312","","","PENDING"
"Free & Low-Cost CRE Market Intelligence Data Sources.md","52684","A7791DD0CBCF3F99E70C360783B421A4E00BC6C5B433382746343643CD642CED","685","","","PENDING"
"Global Institutional Capital Flows Into US CRE  Free & Freemium Data Source Map (2024–2026).md","87938","17ADDB7E9755F22A8376DC44405F66D3EA61029144068DE686E3883F005777CE","547","","","PENDING"
"healthcare-cre-datasources.md","41421","43877726BE6C7874FA73A17A61976720AD5515C0CE1AC04D93DDAFC9BD00BDB3","186","","","PENDING"
"Industrial & Logistics CRE Demand-Signal Intelligence Layer  Free Endpoint-Grade Data Sources.md","49024","651907AE11B49E6A3101C3AC69700AC4783B0FA959A289ECFD0F544C38F12D13","373","","","PENDING"
"Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md","73056","E787F889662A0F818217BF982249B7E0D2BE9C06DAA19A920DED8A3D17F7EB46","489","","","PENDING"
"Israeli Financial Data Engine — Source Reference for US CRE Intelligence Terminal.md","40898","CDEFDBC2E0F949E6A21135FEBDA5A8F6B1B691A209A35A371484D32AE9DE252E","361","","","PENDING"
"Open-Source GitHub Arsenal for a US CRE Intelligence Terminal.md","26558","94FE7EA6B8C649E064CA987FDB88D683D73BB684A75A43AAE66B2FEBDAC446DA","275","","","PENDING"
"Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md","64692","805720862C034F893CD95289D2BB02C2D85306885FDAC4A8992D11B4B96C48F9","459","","","PENDING"
"RePrime Terminal — Global Capital Context Bridge Layer  Free API Source Book.md","51940","3E78A010C9A6AF18C82661EE55DD0B3EA76D54F1B8F34B5BC0CECC5DF087D598","559","","","PENDING"
"RePrime_Terminal_Master_Tools_APIs_Inventory (1).md","39542","1C6893F416A9B1CA663BDD12ABDDB51DF20917AD126F5DEB562316692FBCDC28","378","","","PENDING"
"Terminal_Intelligence_Brief.md","17417","48E026724F6461E4E3545827040ADC1A3E061F11B27F188970236DD62803B928","109","","","PENDING"
"Terminal_Master_Tool_Intelligence_Inventory.md","45830","0119CA615D4AD03591B47E7A9EE5A2262FFAF768619A9D15FE2F13ED917CDF9E","275","","","PENDING"
"Terminal_Master_Tool_Inventory (2).md","49741","B1F9A75795C37D66DBEDFF078B8CE005E454EFA1800A97DF8E3DD952383C227C","1787","","","PENDING"
"Terminal_Research_Prompts_May2026.md","34099","20CD4642FCF85292B79E8D619441CE3D9370F30C477052DDF193FEAD8E961B9E","951","","","PENDING"
"US Commercial Construction Pipeline & Cost Data  Bloomberg-Terminal Source Map.md","75178","B2BC4D158840A2BDDEBCAC8396DE64364BF3A014B72F049D33C16DAB8B9813A0","549","","","PENDING"
"US CRE Capital Markets & CMBS Free Data Source Map — Terminal Intelligence Stack.md","67968","735DC63391E9F061A8F83DAC0CF16465852E873D53ABD71A72CDEECB03082448","388","","","PENDING"
"US CRE Intelligence Terminal  Complete Free Data Source Catalog.md","60983","4122A6BEBB55C297E0DA34403199A4EF6BAB1EE050616C313336B297B7B1DF23","440","","","PENDING"
"US CRE Intelligence Terminal  Demand-Signal Data Source Directory.md","55102","60919C76828BEE706A6876FC1854F4143C9DE81213166B418A788BA52A8904E2","411","","","PENDING"
"US Economic Development Incentives  Free & Freemium Data Source Map.md","60598","F50635AC9309ADB0B05A6BCFF87E7EE4598D3350A90CE307E6313C46F700FDB6","435","","","PENDING"
"US Hospitality & Travel Demand  Free Freemium Data Source Map for CRE Intelligence Terminal.md","64726","7DC9A3D963F9F18AC5FFC464D860362B8D4C376701B64E6AE49D2A89717FF1C3","383","","","PENDING"
"US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md","53362","79C4B7320433C358127B104C4A859F1AF72AF37BBF419CE72049A0EE40720832","552","","","PENDING"
"US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md","53362","79C4B7320433C358127B104C4A859F1AF72AF37BBF419CE72049A0EE40720832","552","","","PENDING"
"US Retail Pulse & Office Return-to-Work  Free Data Source Master Map (2024–2026).md","58879","2F9163142EB30E3BB0B9ED60ADED0C284C1D1803AEED6B968C197B357A73AC6C","382","","","PENDING"
"US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md","69866","2188B607202995D2961682E67AC8E0FE47620E61F694AE6AC87E7A85DB4527C0","555","","","PENDING"
