Apify,,Apify,,https://apify.com/pricing,,"paid - Starter $39/month ($200 monthly platform limit, 14 days data retention); Scale $199/month ($1,000 monthly usage); Business $999/month ($5,000 monthly usage, 500 datacenter proxy IPs)",,,"Compute Units (CUs) = 1 GB RAM for 1 hour. Scale tier $0.16/CU; Business tier $0.13/CU. Heavy browser crawl 4 GB RAM/1 hour = 4.0 CUs = $1.20 per run",,,,"Industry-standard infrastructure for executing pre-built web scrapers (Actors) against JavaScript-heavy CRE marketplace SPAs; cloud headless browsers for scraping CRE portals like LoopNet and Crexi",CRE Data Acquisition Cost Model.md,"Section 2.1 lines 39-47","OK",,
"Crexi Commercial Real Estate Scraper",,"Apify (solidcode)",,https://apify.com/solidcode/crexi-scraper,,"paid - $1.30 per 1,000 results returned (independent of compute charges)",weekly refreshes,"per record","asking prices, cap rates, NOI, square footage, lease terms, broker information",,,,"Targeted CRE actor on Apify marketplace; monitoring 300,000 active national listings with weekly refreshes (1.2M record pulls/month) = $1,560/month in actor fees",CRE Data Acquisition Cost Model.md,"Section 2.1 line 47","OK",,
"Commercial Real Estate Listings - Crexi Scraper",,"Apify (parseforge)",,https://apify.com/parseforge/commercial-real-estate-listings-scraper,,,,,,,,,"Pre-built actor for extracting commercial real estate listings from Crexi",CRE Data Acquisition Cost Model.md,"Works cited #7 line 246","MISSING_FIELDS",,
"Bright Data",,"Bright Data",,https://brightdata.com/pricing/proxy-network/residential-proxies,,"paid - Pay-As-You-Go residential proxies $8.40/GB; Residential Growth plan $499/month at $7.14/GB (or $3.50/GB under promotional configurations); Residential Business plan $999/month at $6.30/GB",,,"150 million+ real residential IPs across 195 countries",,,,"Premium residential proxy network for routing CRE scraping requests through genuine consumer IPs to evade Cloudflare turnstiles, PerimeterX, CAPTCHA challenges on real estate portals; 1.2M pages/month at 2.5MB/page = 3,000 GB = $18,900/month",CRE Data Acquisition Cost Model.md,"Section 2.2 lines 53-56","OK",,
"Bright Data Web Scraper API",,"Bright Data",,https://brightdata.com/pricing/web-scraper,,"paid - Scale plan $499/month for 384,000 records; additional records $1.30 per 1,000",,,,,,,"Managed scraper API that abstracts proxy rotation and CAPTCHA solving; 1.2M monthly records = $1,559.80/month",CRE Data Acquisition Cost Model.md,"Section 2.2 line 57","OK",,
"Bright Data CAPTCHA Proxies",,"Bright Data",,https://brightdata.com/solutions/captcha-proxy,,"free trial available",,,,,,,"CAPTCHA proxy solution for bot evasion",CRE Data Acquisition Cost Model.md,"Works cited #13 line 252","MISSING_FIELDS",,
"Fivetran",,"Fivetran",,https://www.fivetran.com/pricing,,"paid - consumption-based on Monthly Active Rows (MAR); ~$500 per million MAR per connector (post March 2025 per-connector billing); 10M MAR/month = $110,700 annually on Enterprise; 50M MAR/month exceeds $300,000 annually. Monthly Model Runs (MMR) for dbt transformations: free tier 5,000 MMR, then $0.01/run up to 30,000, $0.007/run up to 100,000",monthly,"row-level","Monthly Active Rows (MAR) counted when unique primary key added, updated, or deleted",,,,"ELT data ingestion - loading scraped unstructured JSON into data warehouse for transformation/normalization; March 2025 pricing restructure shifted to per-connector billing eliminating bulk discounts",CRE Data Acquisition Cost Model.md,"Section 2.3 lines 61-66","OK",,
Snowflake,,Snowflake,,https://www.snowflake.com/en/pricing-options/,,"paid - Storage $40/TB/month; Standard Edition $2.00/credit; Enterprise Edition $3.00/credit; Business Critical Edition $4.00/credit. X-Small warehouse 1hr/day = 30 credits/mo ($90 at Enterprise); Medium warehouse (4 credits/hr) 8hrs/day = 960 credits/mo ($2,880); Large warehouse 24/7 = 5,760 credits = $17,280/month",,,"Storage and compute (separate billing); 90-day Extended Time Travel (Enterprise); multi-cluster warehouses",,,,"Cloud data warehouse for storing semi-structured JSON payloads and executing normalization queries on chaotic real estate text strings; Enterprise tier mandatory for Terminal",CRE Data Acquisition Cost Model.md,"Section 2.4 lines 70-74","OK",,
"Snowflake Pricing Calculator",,Snowflake,,https://www.snowflake.com/en/pricing-options/calculator/,,,,,,,,,"Snowflake cost estimation tool",CRE Data Acquisition Cost Model.md,"Works cited #24 line 263","MISSING_FIELDS",,
"Snowflake Marketplace",,Snowflake,,,,,,,"live, query-ready datasets",,,,"Native cloud platform allowing data providers to share live, query-ready datasets directly into customer's data warehouse, eliminating need for ETL tools like Fivetran; recommended for active market signals/listings from CompCurve or BatchData",CRE Data Acquisition Cost Model.md,"Section 4.2 line 161; Section 6 line 232","OK",,
