"GDELT DOC 2.0 — Base Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key required. No registration.",,,,,,"IP-based soft throttle on heavy bursts",,"Live news tiles, CRE News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 9-15",,,
"GDELT DOC 2.0 — Canonical 24-Hour CRE Query (ArtList, JSON)",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(CMBS%20OR%20%22office%20vacancy%22%20OR%20%22commercial%20real%20estate%20distress%22)&mode=artlist&format=json&timespan=24h&maxrecords=250&sort=datedesc","No API key",,"15-min update cycle",,,,"IP-based soft throttle",,"CRE News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 19-23",,,
"GDELT DOC 2.0 — Variant Last 7 days",,"GDELT",,"&timespan=7d","No API key",,,,,,,,"Variant for 7-day window","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 31",,,
"GDELT DOC 2.0 — Variant Last 30 days",,"GDELT",,"&timespan=30d","No API key",,,,,,,,"Variant for 30-day window","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 32",,,
"GDELT DOC 2.0 — Variant English only",,"GDELT",,"sourcelang:english","No API key",,,,,,,,"Variant English-only filter","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 33",,,
"GDELT DOC 2.0 — Variant US-sourced only",,"GDELT",,"sourcecountry:US","No API key",,,,,,,,"Variant US-source filter","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 34",,,
"GDELT DOC 2.0 — Variant JSON output",,"GDELT",,"&format=json","No API key",,,,,,,,"Variant JSON output","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 35",,,
"GDELT DOC 2.0 — Variant CSV output",,"GDELT",,"&format=csv","No API key",,,,,,,,"Variant CSV output","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 36",,,
"GDELT DOC 2.0 — Variant ArtList mode",,"GDELT",,"&mode=artlist","No API key",,,,,,,,"Article list mode","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 37",,,
"GDELT DOC 2.0 — Variant TimelineVol mode",,"GDELT",,"&mode=timelinevol","No API key",,,,,,,,"Volume % of global coverage","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 38",,,
"GDELT DOC 2.0 — Variant ToneChart mode",,"GDELT",,"&mode=tonechart","No API key",,,,,,,,"Emotional histogram","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 39",,,
"GDELT DOC 2.0 — 7-Day English US-Only JSON",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(CMBS%20OR%20%22office%20vacancy%22%20OR%20%22commercial%20real%20estate%20distress%22)%20sourcecountry:US%20sourcelang:english&mode=artlist&format=json&timespan=7d&maxrecords=250&sort=datedesc","No API key",,"15-min update",,,,"IP-based soft throttle",,"CRE News Ticker 7-day variant","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 43-45",,,
"GDELT DOC 2.0 — 30-Day TimelineVol CSV",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(CMBS%20OR%20%22office%20vacancy%22%20OR%20%22commercial%20real%20estate%20distress%22)%20sourcecountry:US&mode=timelinevol&format=csv&timespan=30d","No API key",,"15-min update",,"CSV",,"IP-based soft throttle",,"Coverage volume chart, Topic Volume Sparkline","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 49-51",,,
